id,gamescount,last_game_win,round_type_1,round_type_2,round_type_3,total_cards_done,total_length,total_lost,total_magic_used,total_win,turnir_counts,turnir_wins,type_1,type_2,visits,skill,magic_for_card,card_for_game,magic_for_game,games_for_visit,more_win_then_mean,more_length_then_mean,more_magic_then_mean
218677,6,0,0.0,0.0,0.0,99,966,1,5,5,0,0,1.0,0.0,1,0.8333333333333334,0.05,16.5,0.8333333333333334,6.0,True,False,True
218679,19,0,0.0,0.0,0.0,638,5788,1,18,18,0,0,1.0,0.0,1,0.9473684210526315,0.028169014084507043,33.578947368421055,0.9473684210526315,19.0,True,True,True
218688,3,0,0.0,0.0,0.0,123,756,0,3,3,0,0,1.0,0.0,1,1.0,0.024193548387096774,41.0,1.0,3.0,False,False,False
218693,1,0,0.0,0.0,0.0,15,753,1,0,0,0,0,1.0,0.0,1,0.0,0.0,15.0,0.0,1.0,False,False,False
218695,3,0,0.0,0.0,0.0,135,927,0,3,3,0,0,1.0,0.0,1,1.0,0.022058823529411766,45.0,1.0,3.0,False,False,False
218534,3,0,0.0,0.0,0.0,156,578,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218700,65,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,2226,10902,8,57,57,7,1,0.8923076923076924,0.1076923076923077,5,0.8769230769230769,0.025594970812752582,34.246153846153845,0.8769230769230769,13.0,True,True,True
218702,80,1,0.0,0.0,0.0,1889,13800,10,70,70,0,0,1.0,0.0,2,0.875,0.037037037037037035,23.6125,0.875,40.0,True,True,True
218705,3,0,0.0,0.0,0.0,155,1056,0,3,3,0,0,1.0,0.0,1,1.0,0.019230769230769232,51.666666666666664,1.0,3.0,False,False,False
218708,2,0,0.0,0.0,0.0,52,319,1,1,1,0,0,1.0,0.0,1,0.5,0.018867924528301886,26.0,0.5,2.0,False,False,False
218709,13,0,0.0,0.0,0.0,315,2994,2,11,11,0,0,0.8461538461538461,0.0,1,0.8461538461538461,0.03481012658227848,24.23076923076923,0.8461538461538461,13.0,True,True,True
218714,13,0,0.0,0.0,0.0,214,2322,1,12,12,0,0,1.0,0.0,1,0.9230769230769231,0.05581395348837209,16.46153846153846,0.9230769230769231,13.0,True,True,True
218720,6,0,0.0,0.0,0.0,210,1576,1,5,5,0,0,1.0,0.0,1,0.8333333333333334,0.023696682464454975,35.0,0.8333333333333334,6.0,True,True,True
218721,38,0,0.0,0.0,0.0,1129,10081,8,30,30,0,0,1.0,0.0,1,0.7894736842105263,0.02654867256637168,29.710526315789473,0.7894736842105263,38.0,True,True,True
